Year,DOY,Station Number,Air Temp Max,Air Temp Min,Air Temp Mean,Daily Avg Temp (F),RH - Max,RH- Min,RH - Mean,VPD - Mean,Solar Rad Total,Precipitation - Total
2020,1,6,15,-0.2,7,44.6,96.8,46.2,79,0.27,11.87,0
2020,2,6,16.7,1.4,8.4,47.12,97.1,28.2,72.9,0.38,12.88,0
2020,3,6,16.9,-0.2,7.4,45.32,97,28.8,72.6,0.39,12.77,0
2020,4,6,19.3,0.1,8.1,46.58,96.1,27.2,71.4,0.44,12.96,0
2020,5,6,18.9,-0.2,8.6,47.48,97,34.3,73.5,0.42,13.48,0
2020,6,6,20.1,0.2,9,48.2,96.7,20.5,65,0.58,13.41,0
2020,7,6,20.9,0,9.5,49.1,90.7,20.5,58.7,0.68,13.56,0
2020,8,6,21,0.5,9.5,49.1,88.4,20.8,56.9,0.67,13.53,0
2020,9,6,17.7,2.3,9.9,49.82,88.5,34.4,61.7,0.55,10.6,0
2020,10,6,16.9,2.3,9.3,48.74,89.9,25.4,59.2,0.56,13.28,0
2020,11,6,17.1,-0.8,7.2,44.96,92,26.3,64.9,0.46,13.41,0
2020,12,6,17.3,-2.5,7.2,44.96,94.7,28.8,66.1,0.47,13.56,0
2020,13,6,19,-1.2,7.9,46.22,93.2,25.8,65.2,0.51,13.74,0
2020,14,6,20,-0.5,8.7,47.66,92.7,30.6,66.7,0.52,12.7,0
2020,15,6,19.1,1.2,10.2,50.36,94.7,30,67.3,0.53,11.11,0
2020,16,6,17.8,6.7,11.2,52.16,89.7,50.2,75.2,0.36,4.37,0
2020,17,6,18.3,1.4,9.8,49.64,98.5,34.5,73.4,0.44,13.65,0
2020,18,6,20.9,1,9.6,49.28,96,20.6,64.7,0.59,13.94,0
2020,19,6,23.9,1.6,11.6,52.88,88.9,19.7,56.5,0.81,13.94,0
2020,20,6,22.7,5.4,13.8,56.84,84.6,29.1,60.2,0.74,7.83,0
2020,21,6,16.4,10.5,12.6,54.68,94.5,43.5,83.1,0.26,4.15,5.08
2020,22,6,17.9,8.2,12.3,54.14,100,52.7,84.9,0.26,13.86,0
2020,23,6,20.3,2.5,11.2,52.16,100,40.8,81.8,0.35,14.4,0
2020,24,6,20.6,2.7,11.4,52.52,100,37.4,77.2,0.43,12.83,0
2020,25,6,23.7,3.5,11.7,53.06,100,30.9,76.5,0.47,14.5,0
2020,26,6,23.9,3.7,12.5,54.5,100,34,73.2,0.53,14.53,0
2020,27,6,25.8,6.6,14.6,58.28,99.5,16.4,57.1,0.88,14.89,0
2020,28,6,23.6,2.7,11.9,53.42,91.4,16.9,51,0.83,15.09,0
2020,29,6,17.3,1.5,9.3,48.74,94.8,30,63.7,0.51,8.81,0
2020,30,6,22.3,3.1,11.7,53.06,84.9,16.9,47.7,0.84,14.36,0
2020,31,6,24.8,0.5,10.8,51.44,94.2,11.3,53.2,0.85,15.88,0
2020,32,6,26.3,0.7,11.8,53.24,93,14.8,52.2,0.9,15.8,0
2020,33,6,27.4,2.7,13.5,56.3,88.4,16.9,51.5,1.01,15.91,0
2020,34,6,21.4,6.8,13.2,55.76,54.3,11,29,1.08,10.28,0
2020,35,6,17.3,-1.3,5.8,42.44,69.2,11,24.3,0.73,16.3,0
2020,36,6,14.5,-3.3,4.2,39.56,75.8,8.7,35.7,0.6,13.74,0
2020,37,6,17.5,-2.7,6.4,43.52,72.1,14.9,39.2,0.7,16.27,0
2020,38,6,21.3,-1,8.6,47.48,79.9,16.6,50,0.71,16.63,0
2020,39,6,24,-0.4,10.6,51.08,86.4,18.9,52.9,0.8,16.74,0
2020,40,6,26,2,13.2,55.76,83.7,20.2,50.9,0.94,12.97,0
2020,41,6,24.9,8,13.6,56.48,99.2,44.4,76.3,0.44,11.33,1.27
2020,42,6,18.9,6.2,10.7,51.26,99.8,42.8,76.5,0.34,13.88,0
2020,43,6,22.9,1.2,9.8,49.64,100,18.3,65.5,0.56,17.37,0
2020,44,6,23.1,0,9.6,49.28,93,21.6,58.5,0.66,17.62,0
2020,45,6,23.1,3.6,12.1,53.78,89.6,20.7,54.1,0.82,16.94,0
2020,46,6,23.3,2.2,12.2,53.96,90.1,17.6,50.1,0.88,17.88,0
2020,47,6,24,2,12,53.6,89.5,16.5,50.6,0.89,17.95,0
2020,48,6,26.9,3.5,13.4,56.12,89.3,15.9,48.5,1.01,17.93,0
2020,49,6,27.7,4.6,14.3,57.74,78.9,20.1,50.1,1,17.65,0
2020,50,6,25.3,6.7,15,59,84.2,23,50.8,1.03,17.45,0
2020,51,6,25.7,4.3,15.4,59.72,85.6,18.9,46.1,1.19,16.51,0
2020,52,6,22.6,14.9,18.4,65.12,56.7,32.5,42.5,1.23,12.18,0
2020,53,6,20.2,12.4,15.8,60.44,100,45.2,83.2,0.32,7.27,12.19
2020,54,6,18.5,7.5,13.3,55.94,95.7,42.4,70.2,0.5,16.84,0
2020,55,6,21.5,4.9,12.9,55.22,100,36.4,74.4,0.52,19.2,0
2020,56,6,19.5,3.6,11.9,53.42,99.3,10,48.4,0.86,19.98,0
2020,57,6,18.5,2,10.6,51.08,66.4,11.8,35.2,0.94,20.35,0
2020,58,6,23.5,1.2,12.2,53.96,83.6,15.3,47.4,0.97,18.06,0
2020,59,6,25.3,5.6,14.8,58.64,84.9,13,50.9,1.04,12.93,0
2020,60,6,25.6,4.7,16.1,60.98,90,15.4,45.3,1.23,20.11,0
2020,61,6,24.7,8.2,16,60.8,71.5,14.4,37.5,1.28,19.43,0
2020,62,6,20.1,5.1,12.7,54.86,84.8,25.5,56.5,0.73,18,0
2020,63,6,22.5,8.1,15.2,59.36,88.4,21.5,52.4,0.98,20.24,0
2020,64,6,22.5,5.9,14.2,57.56,95.9,28.5,61.3,0.78,20.73,0
2020,65,6,27.4,5.6,15.9,60.62,87.2,20.7,52.6,1.08,20.23,0
2020,66,6,30,11.9,21.3,70.34,59.6,13.9,31.9,1.89,19.77,0
2020,67,6,28.6,11.3,20.2,68.36,67.5,15.9,35.7,1.7,21.1,0
2020,68,6,24.2,12.7,18,64.4,60.5,26.1,40.8,1.28,17.79,0
2020,69,6,24.8,8.3,17.5,63.5,87,23,51.6,1.12,19.93,0
2020,70,6,23.5,14,18,64.4,100,40.9,69,0.71,8.48,7.37
2020,71,6,19.4,15.4,17,62.6,100,84.8,97.7,0.05,7.11,8.13
2020,72,6,22.2,15.1,17.9,64.22,100,64.8,88.8,0.25,7,3.05
2020,73,6,19.6,10.1,14.4,57.92,100,41.4,79.9,0.39,19.41,1.02
2020,74,6,23.6,6.3,14.7,58.46,100,32.8,74.2,0.59,21.46,0
2020,75,6,25.5,9.1,16.4,61.52,100,24.6,70.3,0.74,21.09,0
2020,76,6,25.6,8.8,17.5,63.5,99.6,22.4,62,0.95,20.86,0
2020,77,6,24,9.7,16.8,62.24,92.5,24.7,57.9,0.93,21.56,0
2020,78,6,19.5,8.3,13.1,55.58,94.8,39.8,72.2,0.45,7.98,8.38
2020,79,6,17.4,7.5,12.3,54.14,100,38.8,74.9,0.42,18.94,0.51
2020,80,6,20.4,5.1,13.4,56.12,100,32.7,67.7,0.63,20.18,0
2020,81,6,23,7.8,15.9,60.62,95.5,28.6,57.1,0.92,23.3,0
2020,82,6,22.7,9,16.1,60.98,90.3,27.2,57,0.93,17.87,0
2020,83,6,25.2,11.8,18.4,65.12,83.9,24.2,52.1,1.15,22.95,0
2020,84,6,25.6,6.8,17.2,62.96,94.4,21.1,51.7,1.16,24.01,0
2020,85,6,25.8,9.4,18.1,64.58,72.7,20.7,44.2,1.34,20.97,0
2020,86,6,20.1,11.7,16.2,61.16,51.6,26.4,39.8,1.13,17.19,0
2020,87,6,17.8,7.5,12.9,55.22,62.4,21.3,38.1,0.96,23.05,0
2020,88,6,21.5,3,13,55.4,84.7,12.4,41,1.05,24.35,0
2020,89,6,24.8,6.1,16.5,61.7,75.6,11,34.9,1.4,24.5,0
2020,90,6,25.3,7.7,17.4,63.32,68.1,17.5,35.4,1.42,25.01,0
2020,91,6,26.1,6.3,17.4,63.32,78.8,18.6,42.4,1.35,16.44,0
2020,92,6,29.8,11.3,20.9,69.62,69.5,14.8,36.6,1.79,24.02,0
2020,93,6,28.8,11.8,20.6,69.08,48.2,14.2,27.8,1.92,25.23,0
2020,94,6,29.3,9.5,19.9,67.82,69.7,15.9,33.8,1.75,25.1,0
2020,95,6,29.4,11.9,20.2,68.36,72.3,10.8,33.9,1.81,25.39,0
2020,96,6,29.4,9.7,20.4,68.72,57.8,12.6,28.6,1.9,25.64,0
2020,97,6,29.5,11.4,20.2,68.36,45.9,8.5,25.8,1.94,26.05,0
2020,98,6,29.3,9.1,19.8,67.64,55.7,13.5,31.1,1.77,25.52,0
2020,99,6,27.4,11.6,19.1,66.38,71.4,23.4,43.7,1.39,23.74,0
2020,100,6,22.6,7.4,15.4,59.72,78.9,20.5,45.5,1.09,26.49,0
2020,101,6,25,7.6,16.8,62.24,65.4,17.8,37.3,1.37,25.93,0
2020,102,6,19.8,10.8,15.7,60.26,80.2,36.4,52.4,0.87,16.45,0
2020,103,6,25.8,9.1,17.1,62.78,87.2,26,54.9,1.09,25.74,0
2020,104,6,25.1,10.6,18.7,65.66,70.9,29.5,47.2,1.23,22.72,0
2020,105,6,26.7,9,18.6,65.48,91,11.2,40.6,1.53,26.84,0
2020,106,6,28.1,7.9,18.5,65.3,58.3,6.2,24.6,1.84,27.7,0
2020,107,6,30,8.5,20.5,68.9,53.9,7.1,20.3,2.15,27.28,0
2020,108,6,31,9.4,20.9,69.62,57.8,5.6,22,2.18,24.54,0
2020,109,6,26,9.7,18.6,65.48,50.9,18.9,30.9,1.59,25.16,0
2020,110,6,28.5,11.1,20.3,68.54,60.3,18.1,33.9,1.75,26.83,0
2020,111,6,30.7,12.9,22.6,72.68,57.4,11.5,28,2.2,27.52,0
2020,112,6,27.8,13.4,21.5,70.7,49,17.1,29.8,1.91,27.63,0
2020,113,6,32.7,11.7,23,73.4,68.4,11.8,32.4,2.23,27.56,0
2020,114,6,35.5,14.2,26,78.8,53.2,9.6,22.8,2.89,27.82,0
2020,115,6,36.5,15.9,27.1,80.78,48.3,8.6,23,3.07,27.97,0
2020,116,6,37.2,15.6,27.1,80.78,46.3,6.7,20.3,3.2,28.48,0
2020,117,6,39,14.2,27.8,82.04,57.3,7.1,22.2,3.37,28.52,0
2020,118,6,39.1,18.5,29.1,84.38,40.5,7,18.5,3.63,26.95,0
2020,119,6,37.9,17.2,28,82.4,45.4,7.1,20.4,3.36,28.59,0
2020,120,6,39.6,18,29.5,85.1,38.8,8.9,21,3.63,28.16,0
2020,121,6,38.6,21.5,30,86,48.5,8.5,19.3,3.69,22.01,0
2020,122,6,39,17.2,28.7,83.66,35,6.1,16.2,3.66,29.13,0
2020,123,6,37.9,18.4,28.1,82.58,39.3,8,19.6,3.36,28.91,0
2020,124,6,36.1,15.2,27.3,81.14,54.6,11,21.3,3.12,28.78,0
2020,125,6,36.6,18.1,27.6,81.68,40.7,7.5,19.9,3.21,29.12,0
2020,126,6,38.9,15.6,28.3,82.94,43.2,5.7,19.5,3.53,29.45,0
2020,127,6,41.4,17.2,29.2,84.56,42.4,4.7,18.2,3.83,29.58,0
2020,128,6,40.8,16.2,30.4,86.72,39,5.1,14.4,4.1,29.61,0
2020,129,6,39.3,18,30.3,86.54,38.6,7.4,18.4,3.85,26.48,0
2020,130,6,38.5,19.2,30.2,86.36,56.1,13.4,26.3,3.45,25.95,0
2020,131,6,38,22.3,30.1,86.18,65.5,13.4,31.3,3.17,23.96,0
2020,132,6,37.7,17.9,28.5,83.3,66.9,6.2,27.2,3.23,29.27,0
2020,133,6,35.2,19.1,27.5,81.5,40.9,10.9,20.5,3.1,29.5,0
2020,134,6,33,17,25.5,77.9,52.6,16.7,28.5,2.49,29.09,0
2020,135,6,32.8,15.9,25.1,77.18,59.4,14.5,29.9,2.43,27.3,0
2020,136,6,34.8,17,26.3,79.34,47.5,12.4,26.9,2.73,29.41,0
2020,137,6,36.8,18.3,28.7,83.66,46.5,9.9,23.1,3.29,29.48,0
2020,138,6,38.6,19.3,29.4,84.92,35.2,4.8,19,3.63,29.69,0
2020,139,6,38.3,17.5,28.2,82.76,46.3,7.5,21.7,3.33,29.84,0
2020,140,6,32.2,17.2,25.2,77.36,36.4,8.4,20.9,2.63,29.85,0
2020,141,6,30.5,11.7,22.4,72.32,46.7,7.4,19.2,2.38,30.62,0
2020,142,6,33,12.6,23.5,74.3,55,5.7,18.4,2.66,30.99,0
2020,143,6,35.8,16.7,26.3,79.34,44.8,5.9,17.1,3.12,30.34,0
2020,144,6,34.3,16.2,26.4,79.52,43.5,7.4,17.8,3.06,30.01,0
2020,145,6,34.5,16.8,26.9,80.42,41.8,5.2,18.3,3.11,30.34,0
2020,146,6,36.2,16.2,27.4,81.32,40.3,5.5,15.3,3.35,30.84,0
2020,147,6,39.2,14.3,28.7,83.66,49.3,5.2,16.7,3.76,30.8,0
2020,148,6,41.4,19.6,31.6,88.88,29.7,6.6,15.1,4.32,30.51,0
2020,149,6,42.4,22.9,34,93.2,26.7,6.3,14.6,4.85,30.1,0
2020,150,6,43.8,23.1,34.5,94.1,35.3,8.1,17.6,4.91,29.79,0
2020,151,6,43,23.5,33.3,91.94,54.9,11.2,26.7,4.13,29.26,0.25
2020,152,6,41.9,23.5,33.2,91.76,69.1,8.1,23.2,4.27,30.06,0
2020,153,6,41.3,22.7,32.5,90.5,57.5,10.1,24.5,4,29.83,0
2020,154,6,40.9,26.6,34.2,93.56,55.3,11.2,25.8,4.23,28.35,0
2020,155,6,43.3,25,35.1,95.18,47,9.1,20.9,4.81,29.81,0
2020,156,6,43,25.7,35.5,95.9,40.7,10.7,20.5,4.88,28.37,0
2020,157,6,41.6,24.1,33,91.4,39.6,8.1,17,4.37,19.29,0
2020,158,6,34.7,19.2,27.3,81.14,59.8,16.8,32.6,2.61,30.08,0
2020,159,6,35.9,19.7,28.3,82.94,55.1,8.5,26.4,3.05,30.48,0
2020,160,6,32.3,16.4,25.6,78.08,56.8,3.8,17.4,2.88,31.42,0
2020,161,6,34.2,14.1,25.4,77.72,32,5,12.6,3.05,31.87,0
2020,162,6,39.3,12.7,28.3,82.94,63.1,4.1,16,3.74,31.63,0
2020,163,6,42,18,31.4,88.52,42.6,4.6,15.3,4.42,30.84,0
2020,164,6,42.4,20,32.4,90.32,43.1,6.1,16.6,4.44,30.51,0
2020,165,6,41.7,20.8,31.1,87.98,42.6,3.4,14,4.28,30.49,0
2020,166,6,41.2,17.5,30.1,86.18,28,3,12.7,4.12,31.12,0
2020,167,6,41.8,20.5,31.2,88.16,27.1,6.7,15.5,4.17,30.48,0
2020,168,6,41.8,18.7,31.2,88.16,38.5,3.7,15.8,4.23,31.19,0
2020,169,6,39.9,22.2,30.5,86.9,29.3,6.5,15.3,3.96,31.05,0
2020,170,6,39.7,20.2,29.8,85.64,37,5.5,15.5,3.83,31.08,0
2020,171,6,38.8,17,29.3,84.74,45.3,5.5,18.5,3.68,31.27,0
2020,172,6,40.6,19.4,31.3,88.34,37.3,4.7,16.9,4.16,30.8,0
2020,173,6,42,21.9,32.7,90.86,31,6.7,14.9,4.56,30.75,0
2020,174,6,42.3,23.5,33.6,92.48,23.8,5.9,13.6,4.79,30.58,0
2020,175,6,42.8,22,33.3,91.94,34.1,5.8,16.3,4.67,30.29,0
2020,176,6,43.2,21.9,33.4,92.12,42.1,3.4,19.6,4.6,29.78,0
2020,177,6,43.7,24.1,34,93.2,32,2.8,13.4,4.98,28.19,0
2020,178,6,43.1,21.5,33,91.4,35.7,4.3,14.4,4.69,28.98,0
2020,179,6,41.6,21.9,33.2,91.76,39.9,8.4,18.4,4.47,29.63,0
2020,180,6,39.9,23.7,32,89.6,30.7,11,18.6,4.07,29.71,0
2020,181,6,37.9,24,30.7,87.26,36.9,10.5,19.3,3.71,29.72,0
2020,182,6,37.9,20.4,29.2,84.56,52.6,8.7,25.7,3.28,30.09,0
2020,183,6,39.9,18.6,30.5,86.9,45.6,10.7,22.3,3.7,30.12,0
